t = 0.0082
           x           u
      0.0000     -1.7577
      0.0101      5.5505
      0.0202     27.4752
      0.0303     16.0260
      0.0404     -6.0109
      0.0505     -0.6590
      0.0606     -1.3771
      0.0707     -1.0164
      0.0808     -0.7611
      0.0909     -0.7791
      0.1010     -0.8005
      0.1111     -1.1371
      0.1212     -0.8106
      0.1313     -1.2192
      0.1414     -1.0124
      0.1515     -0.3064
      0.1616     -3.9266
      0.1717     -3.6533
      0.1818     -1.0083
      0.1919     -1.0309
      0.2020     -1.2642
      0.2121     -0.2104
      0.2222      0.0073
      0.2323     -1.4257
      0.2424     -0.8561
      0.2525     -1.1035
      0.2626     -0.9083
      0.2727     -0.9772
      0.2828     -1.0851
      0.2929     -1.1477
      0.3030     -1.1129
      0.3131     -1.1540
      0.3232     -0.9650
      0.3333     -1.1440
      0.3434     -1.0126
      0.3535     -1.1550
      0.3636     -1.0576
      0.3737     -1.1572
      0.3838     -1.1669
      0.3939     -0.9713
      0.4040     -1.0545
      0.4141     -1.0114
      0.4242     -0.9680
      0.4343     -1.1439
      0.4444     -0.5694
      0.4545     -0.5459
      0.4646     -0.9197
      0.4747     -1.3108
      0.4848     -1.4093
      0.4949     -1.3698
      0.5051     -1.2097
      0.5152     -1.0627
      0.5253     -1.2054
      0.5354     -1.0756
      0.5455     -1.2257
      0.5556     -1.1457
      0.5657     -1.1993
      0.5758     -1.1194
      0.5859     -1.2408
      0.5960     -1.0056
      0.6061     -2.2779
      0.6162     -2.5139
      0.6263     -2.2813
      0.6364     -0.8785
      0.6465     -1.1743
      0.6566     -1.3456
      0.6667     -1.3445
      0.6768     -1.3382
      0.6869     -0.8915
      0.6970     -0.6271
      0.7071     -0.7275
      0.7172     -1.2759
      0.7273     -1.7232
      0.7374     -1.2274
      0.7475     -0.9799
      0.7576     -0.8893
      0.7677     -0.9615
      0.7778     -1.2091
      0.7879     -1.2021
      0.7980     -1.2332
      0.8081     -1.3169
      0.8182     -1.3259
      0.8283     -1.4350
      0.8384     -1.3399
      0.8485     -1.2578
      0.8586     -1.2403
      0.8687     -1.3690
      0.8788     -1.7845
      0.8889     -1.8083
      0.8990     -1.4532
      0.9091     -1.7153
      0.9192     -1.5015
      0.9293     -1.8527
      0.9394     -1.6983
      0.9495     -0.6866
      0.9596     -1.4520
      0.9697     -1.5623
      0.9798     -1.0979
      0.9899     -1.0979
      1.0000     -1.0979
