t = 0.0031
           x           u
      0.0000      0.0000      0.0000
      0.0202      0.4045  91181.0958
      0.0404      3.1968    -33.2650
      0.0606     -1.0850  91731.6231
      0.0808      5.7656    -69.3502
      0.1010      0.9541  92708.1445
      0.1212      1.5830     -8.6532
      0.1414      1.0893  93022.0039
      0.1616     -0.0914     16.1252
      0.1818      1.4204  93536.0455
      0.2020     -0.1338   -850.9026
      0.2222      8.1430  93558.0041
      0.2424      0.3810    330.1216
      0.2626     -2.6268  93629.7905
      0.2828      2.2895    -82.0634
      0.3030      1.0039  92161.0165
      0.3232     -0.2784  -1993.6904
      0.3434     -1.9610  90846.4961
      0.3636      0.8411  -2550.2037
      0.3838      1.1725  91280.9478
      0.4040      1.0285  -3275.8033
      0.4242      1.4887  91427.3193
      0.4444      0.8019  -4334.1846
      0.4646      3.3664  90928.3776
      0.4848      0.6470  -5709.5325
      0.5051      1.1541  90349.3948
      0.5253     -0.0744  -5744.3407
      0.5455      4.5924  89851.9915
      0.5657      0.3130  -7529.4890
      0.5859      1.7485  89760.8089
      0.6061     -2.8619  -6361.4815
      0.6263     -1.4802  93154.4358
      0.6465     -1.7174  -5419.5571
      0.6667      1.9500  92040.3759
      0.6869      1.4893  -5386.8904
      0.7071      5.8571  91051.5814
      0.7273      3.3994  -6625.9836
      0.7475      6.1286  90230.4652
      0.7677      3.9652  -6666.2500
      0.7879      7.0167  90311.5691
      0.8081      5.5181  -6094.4672
      0.8283      8.3207  90924.7998
      0.8485      6.9390  -5160.8805
      0.8687      6.7850  91754.6504
      0.8889      5.0695  -4191.2953
      0.9091      1.9965  92362.2792
      0.9293      0.2491  -3415.4327
      0.9495     -2.0903  92475.8029
      0.9697     -0.1055  -3360.3318
      0.9899     -0.1851  92385.9934
      1.0101    -23.4799  -3524.2704
      1.0303     -0.2634  96813.1042
      1.0505      0.0423  -3409.9812
      1.0707      3.2199  97111.0893
      1.0909     -0.3113  -6679.2414
      1.1111     -1.0337  95971.3591
      1.1313     -0.2967  -7885.9322
      1.1515     -1.2488  94988.9772
      1.1717      1.4795  -8145.0869
      1.1919      1.0924  88390.8470
      1.2121     -0.4532  -8184.6231
      1.2323     -0.8279  88333.2692
      1.2525     -5.9130  -8162.2571
      1.2727     -3.0910  88002.6329
      1.2929     -0.5707  -8358.0114
      1.3131     -3.0338  87994.8486
      1.3333      0.5385  -9638.2629
      1.3535      2.0456  87953.3470
      1.3737     -9.4366 -10096.3572
      1.3939      0.3559  88740.2512
      1.4141     -0.7345 -10280.7483
      1.4343    -14.3233  89053.8330
      1.4545     -3.2804 -16473.2203
      1.4747      0.8330  87172.4316
      1.4949      0.4499 -16519.7105
      1.5152     12.7797  87198.1401
      1.5354     -0.6602 -17650.8436
      1.5556     -1.1101  87289.4815
      1.5758     19.7743 -17069.0520
      1.5960     -4.7050  96154.3728
      1.6162     -4.6987 -17442.3350
      1.6364      0.5178  86385.9729
      1.6566     -1.2973 -17701.8688
      1.6768     34.4487  85144.0998
      1.6970     -0.2628 -13840.8158
      1.7172      2.7607  84832.8511
      1.7374      0.4951 -12272.2939
      1.7576     14.8798  85042.6947
      1.7778     -0.9963 -12729.6910
      1.7980     -0.5634  84885.7043
      1.8182      4.4617 -12710.6839
      1.8384     -3.5709  85455.2636
      1.8586     -0.0283 -13130.1101
      1.8788      1.7098  85205.2005
      1.8990      1.9408 -13159.6276
      1.9192      1.4581  85904.1446
      1.9394     -0.6492 -12177.6637
      1.9596     -1.2223  86963.4663
      1.9798      0.4444 -12600.2501
      2.0000      1.0000  86859.6278
