t = 0.0072
           x           u
      0.0000     -0.0000      0.0000
      0.0202      0.6223   5596.2429
      0.0404      1.0019     20.7157
      0.0606      0.5837   5607.5511
      0.0808     -0.1462    114.5082
      0.1010      0.0497   5567.1705
      0.1212     -0.1139     24.8212
      0.1414     17.4117   5549.0588
      0.1616     -0.2233  -2213.4435
      0.1818     -0.1203   5601.6723
      0.2020     -0.7856  -2135.3070
      0.2222      0.2094   5429.5713
      0.2424      0.3564  -2200.7117
      0.2626     -4.8079   5344.4336
      0.2828     -0.2094   2106.6038
      0.3030     -0.4096   5398.7037
      0.3232     -0.3665   1908.8581
      0.3434      1.6832   5862.6162
      0.3636     -0.3236   1995.7169
      0.3838      0.1392   5357.9358
      0.4040    -31.5760   1901.8686
      0.4242      0.2313   5712.1992
      0.4444     -0.1259   2044.8636
      0.4646     -3.7366   5670.2872
      0.4848     -0.9346   1272.4796
      0.5051     -2.3791   5732.3178
      0.5253      0.2587   1565.5698
      0.5455      1.4277   6872.1880
      0.5657      0.4587   1742.3770
      0.5859      0.0772   6826.4981
      0.6061     -0.3225   1684.5768
      0.6263      4.7243   6859.2661
      0.6465      0.0283   1166.0818
      0.6667      0.4882   7040.2391
      0.6869     -0.6895   1595.7917
      0.7071      0.3882   7312.2123
      0.7273     -2.0536   1509.3900
      0.7475      0.9206   7405.3489
      0.7677     -0.3591   1082.9348
      0.7879      1.8948   7379.2390
      0.8081      0.2621    896.7968
      0.8283      1.9971   7484.9036
      0.8485      0.3463    762.9669
      0.8687     -3.9167   7365.8441
      0.8889     -2.8444   1353.7489
      0.9091     -2.9139   7638.4840
      0.9293     -0.6074   1248.0054
      0.9495      0.6840   7729.0914
      0.9697      2.2603   1521.7878
      0.9899      0.9340   7910.3816
      1.0101     -4.6311   1614.3069
      1.0303     -0.1475    615.3275
      1.0505      0.2013   1579.6180
      1.0707    118.0765    543.6126
      1.0909      0.0685  -1663.4574
      1.1111     -0.4131    558.6207
      1.1313     -2.9192  -1524.6473
      1.1515     -1.7565   1273.3451
      1.1717     -1.2566  -1250.0872
      1.1919     -0.4125    968.8407
      1.2121      0.9707  -1264.6320
      1.2323     -0.5276    847.5794
      1.2525      2.8425  -1317.8241
      1.2727      0.4744   1188.4403
      1.2929      0.2320  -1410.1528
      1.3131      6.7578   1160.2931
      1.3333      1.5676  -1972.1680
      1.3535      0.2966   1045.5616
      1.3737      3.5601  -2010.2421
      1.3939      0.4732    668.6369
      1.4141     -1.2281  -2016.4158
      1.4343     -3.3773    767.7623
      1.4545      0.2632  -1876.8018
      1.4747      0.8807    717.5696
      1.4949     -0.1025  -1854.6842
      1.5152     -5.7868    758.8619
      1.5354     -1.1002  -2109.4064
      1.5556     -0.5239    609.7184
      1.5758     -6.1752  -2157.7610
      1.5960     -0.7321   -270.6378
      1.6162     -1.4652  -2230.8834
      1.6364     -1.3145   -434.6518
      1.6566     -1.4449  -2272.6239
      1.6768     -0.7035   -517.4580
      1.6970     -0.4981  -2230.4025
      1.7172     -0.6570   -580.7424
      1.7374     -0.3143  -2156.7053
      1.7576     -1.6203   -574.2681
      1.7778      0.3206  -2679.9192
      1.7980     -1.0113   -631.5984
      1.8182     -1.4696  -2424.5143
      1.8384     -0.6587   -814.7524
      1.8586      1.3189  -2578.2139
      1.8788      5.3099   -695.9988
      1.8990      0.2514  -2501.9543
      1.9192     -0.4792   -733.1019
      1.9394      0.3993  -2529.4664
      1.9596      1.2482   -779.3004
      1.9798      1.0620  -2582.2683
      2.0000      1.0000   -792.5009
